bucket_name,owner_principal,availability_zone,versioning_enabled,lifecycle_policy,audit_logging_enabled,created_at
value-dd769869,karinameyer@carey.net,us-east-1b,True,,True,2023-06-10T22:51:58.197908
body-7fa53be1,tylerwilson@ward.com,us-east-1b,False,"{""rules"": [{""id"": ""expire-279-days"", ""action"": ""Delete"", ""days_after_creation"": 279}]}",False,2025-03-03T22:51:58.198410
order-5d7fd324,khensley@gmail.com,us-west-2a,False,"{""rules"": [{""id"": ""expire-112-days"", ""action"": ""Delete"", ""days_after_creation"": 112}]}",False,2024-01-05T22:51:58.198636
it-063ac04c,walkerjeffrey@roberts-wilkins.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-297-days"", ""action"": ""Delete"", ""days_after_creation"": 297}]}",False,2023-05-01T22:51:58.199160
fund-aaae016e,crystalmartin@johnson.com,us-west-2a,False,"{""rules"": [{""id"": ""expire-77-days"", ""action"": ""Delete"", ""days_after_creation"": 77}]}",True,2024-05-27T22:51:58.199806
current-f33ffd4f,martinezbrian@yahoo.com,us-east-1a,False,"{""rules"": [{""id"": ""expire-328-days"", ""action"": ""Delete"", ""days_after_creation"": 328}]}",True,2025-01-16T22:51:58.200287
wear-14da85ec,pattersonshawna@patton.biz,us-west-2a,False,,False,2023-02-08T22:51:58.200954
sister-4af7c8ec,gabriel24@miranda.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-76-days"", ""action"": ""Delete"", ""days_after_creation"": 76}]}",True,2024-12-16T22:51:58.201284
others-18fba91b,holiver@richmond.info,us-east-1a,False,,True,2025-01-17T22:51:58.201919
interesting-4d83fd8d,tturner@hotmail.com,us-west-2a,False,"{""rules"": [{""id"": ""expire-224-days"", ""action"": ""Delete"", ""days_after_creation"": 224}]}",True,2024-02-02T22:51:58.202204
great-cefd8804,lorrainedennis@ray.biz,us-west-2a,True,"{""rules"": [{""id"": ""expire-291-days"", ""action"": ""Delete"", ""days_after_creation"": 291}]}",True,2024-11-05T22:51:58.202783
real-c13a61a1,stanleysophia@hernandez-bell.com,us-west-2a,True,"{""rules"": [{""id"": ""expire-163-days"", ""action"": ""Delete"", ""days_after_creation"": 163}]}",True,2025-07-30T22:51:58.203338
fast-1a12911a,garciarobert@gmail.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-353-days"", ""action"": ""Delete"", ""days_after_creation"": 353}]}",True,2023-04-01T22:51:58.203667
his-6daecf26,jonesdevin@gmail.com,us-east-1b,False,,True,2024-04-18T22:51:58.203950
human-007ac934,mitchell56@green.biz,us-east-1b,False,,False,2025-05-20T22:51:58.204225
interview-9a35bf14,ewilliams@villa.com,us-west-2a,False,"{""rules"": [{""id"": ""expire-298-days"", ""action"": ""Delete"", ""days_after_creation"": 298}]}",True,2024-05-10T22:51:58.204798
act-37df89a2,alvarezdesiree@yahoo.com,us-east-1b,True,"{""rules"": [{""id"": ""expire-107-days"", ""action"": ""Delete"", ""days_after_creation"": 107}]}",True,2025-01-09T22:51:58.205069
